,total,url,exchangeId,instrumentType,symbolTicker,symbolExchangeTicker,normalizedTicker,symbolEsignalTicker,instrumentName,micCode
57,6717,https://www.nyse.com/quote/XNCM:ACIC,564,COMMON_STOCK,ACIC,ACIC,ACIC,ACIC,AMERICAN COASTAL INSURANCE CORP,XNCM
58,6717,https://www.nyse.com/quote/XNMS:ACIU,564,COMMON_STOCK,ACIU,ACIU,ACIU,ACIU,AC IMMUNE SA,XNMS
59,6717,https://www.nyse.com/quote/XNGS:ACIW,564,COMMON_STOCK,ACIW,ACIW,ACIW,ACIW,ACI WORLDWIDE INC,XNGS
60,6717,https://www.nyse.com/quote/XNGS:ACLS,564,COMMON_STOCK,ACLS,ACLS,ACLS,ACLS,AXCELIS TECHNOLOGIES INC,XNGS
61,6717,https://www.nyse.com/quote/XNGS:ACLX,564,COMMON_STOCK,ACLX,ACLX,ACLX,ACLX,ARCELLX INC,XNGS
62,6717,https://www.nyse.com/quote/XNYS:ACM,558,COMMON_STOCK,ACM,ACM,ACM,ACM,AECOM,XNYS
63,6717,https://www.nyse.com/quote/XNYS:ACN,558,COMMON_STOCK,ACN,ACN,ACN,ACN,ACCENTURE PLC,XNYS
64,6717,https://www.nyse.com/quote/XNCM:ACNB,564,COMMON_STOCK,ACNB,ACNB,ACNB,ACNB,ACNB CORP,XNCM
65,6717,https://www.nyse.com/quote/XNMS:ACNT,564,COMMON_STOCK,ACNT,ACNT,ACNT,ACNT,ASCENT INDUSTRIES CO,XNMS
66,6717,https://www.nyse.com/quote/XNCM:ACOG,564,COMMON_STOCK,ACOG,ACOG,ACOG,ACOG,ALPHA COGNITION INC,XNCM
67,6717,https://www.nyse.com/quote/XNCM:ACON,564,COMMON_STOCK,ACON,ACON,ACON,ACON,ACLARION INC,XNCM
68,6717,https://www.nyse.com/quote/XNYS:ACP,558,CLOSED_END_FUND,ACP,ACP,ACP,ACP,ABRDN INCOME CREDIT STRATEGIES FUND,XNYS
69,6717,https://www.nyse.com/quote/XNYS:ACPpA,558,PREFERRED_STOCK,ACP-A,ACPpA,ACPpA,ACP/PA,ABRDN INCOME CREDIT STRATEGIES FUND 5.250% CUM PERPETUAL PFD STOCK SER A,XNYS
70,6717,https://www.nyse.com/quote/XNYS:ACR,558,REIT,ACR,ACR,ACR,ACR,ACRES COMMERCIAL REALTY CORP,XNYS
71,6717,https://www.nyse.com/quote/XNYS:ACRE,558,REIT,ACRE,ACRE,ACRE,ACRE,ARES COMMERCIAL REAL ESTATE,XNYS
72,6717,https://www.nyse.com/quote/XNMS:ACRV,564,COMMON_STOCK,ACRV,ACRV,ACRV,ACRV,ACRIVON THERAPEUTICS INC,XNMS
73,6717,https://www.nyse.com/quote/XNYS:ACRpC,558,PREFERRED_STOCK,ACR-C,ACRpC,ACRpC,ACR/PC,ACRES COMMERCIAL REALTY CORP 8.625% CUM RED FXD TO FLOATING PRF SER C,XNYS
74,6717,https://www.nyse.com/quote/XNYS:ACRpD,558,PREFERRED_STOCK,ACR-D,ACRpD,ACRpD,ACR/PD,ACRES COMMERCIAL REALTY CORP 7.875% CUM RED PREF SER D,XNYS
75,6717,https://www.nyse.com/quote/XNGS:ACT,564,COMMON_STOCK,ACT,ACT,ACT,ACT,ENACT HLDGS INC,XNGS
76,6717,https://www.nyse.com/quote/XNGS:ACTG,564,COMMON_STOCK,ACTG,ACTG,ACTG,ACTG,ACACIA RESEARCH CORP,XNGS
77,6717,https://www.nyse.com/quote/XNMS:ACTU,564,COMMON_STOCK,ACTU,ACTU,ACTU,ACTU,ACTUATE THERAPEUTICS INC,XNMS
78,6717,https://www.nyse.com/quote/XASE:ACU,545,COMMON_STOCK,ACU,ACU,ACU,ACU,ACME UNITED CORP,XASE
79,6717,https://www.nyse.com/quote/XNYS:ACV,558,CLOSED_END_FUND,ACV,ACV,ACV,ACV,VIRTUS DIVERSIFIED INCOME & CONVERT,XNYS
80,6717,https://www.nyse.com/quote/XNGS:ACVA,564,COMMON_STOCK,ACVA,ACVA,ACVA,ACVA,ACV AUCTIONS INC,XNGS
81,6717,https://www.nyse.com/quote/XNMS:ADAG,564,DEPOSITORY_RECEIPT,ADAG,ADAG,ADAG,ADAG,ADAGENE INC SPON ADS EACH REP 1.25 ORD SHS,XNMS
82,6717,https://www.nyse.com/quote/XNGS:ADAP,564,DEPOSITORY_RECEIPT,ADAP,ADAP,ADAP,ADAP,ADAPTIMMUNE THERAPEUTICS PLC SPON ADS EACH REP 6 ORD SHS,XNGS
83,6717,https://www.nyse.com/quote/XNGS:ADBE,564,COMMON_STOCK,ADBE,ADBE,ADBE,ADBE,ADOBE INC,XNGS
84,6717,https://www.nyse.com/quote/XNYS:ADC,558,REIT,ADC,ADC,ADC,ADC,AGREE REALTY CORP,XNYS
85,6717,https://www.nyse.com/quote/XNYS:ADCT,558,COMMON_STOCK,ADCT,ADCT,ADCT,ADCT,ADC THERAPEUTICS SA,XNYS
86,6717,https://www.nyse.com/quote/XNYS:ADCpA,558,PREFERRED_STOCK,ADC-A,ADCpA,ADCpA,ADC/PA,AGREE REALTY CORP DEP SHS EA REP 1/1000 CUM PFD STK SR A,XNYS
87,6717,https://www.nyse.com/quote/XNCM:ADD,564,COMMON_STOCK,ADD,ADD,ADD,ADD,COLOR STAR TECHNOLOGY CO LTD,XNCM
88,6717,https://www.nyse.com/quote/XNGS:ADEA,564,COMMON_STOCK,ADEA,ADEA,ADEA,ADEA,ADEIA INC,XNGS
89,6717,https://www.nyse.com/quote/XNCM:ADGM,564,COMMON_STOCK,ADGM,ADGM,ADGM,ADGM,ADAGIO MEDICAL HOLDINGS INC,XNCM
90,6717,https://www.nyse.com/quote/XNCM:ADIL,564,COMMON_STOCK,ADIL,ADIL,ADIL,ADIL,ADIAL PHARMACEUTICALS INC,XNCM
91,6717,https://www.nyse.com/quote/XNYS:ADM,558,COMMON_STOCK,ADM,ADM,ADM,ADM,ARCHER-DANIELS-MIDLAND CO,XNYS
92,6717,https://www.nyse.com/quote/XNMS:ADMA,564,COMMON_STOCK,ADMA,ADMA,ADMA,ADMA,ADMA BIOLOGICS INC,XNMS
93,6717,https://www.nyse.com/quote/XNCM:ADN,564,COMMON_STOCK,ADN,ADN,ADN,ADN,ADVENT TECHNOLOGIES HLDGS INC,XNCM
94,6717,https://www.nyse.com/quote/XNYS:ADNT,558,COMMON_STOCK,ADNT,ADNT,ADNT,ADNT,ADIENT PLC,XNYS
95,6717,https://www.nyse.com/quote/XNGS:ADP,564,COMMON_STOCK,ADP,ADP,ADP,ADP,AUTOMATIC DATA PROCESSING INC,XNGS
96,6717,https://www.nyse.com/quote/XNGS:ADPT,564,COMMON_STOCK,ADPT,ADPT,ADPT,ADPT,ADAPTIVE BIOTECHNOLOGIES CORP,XNGS
97,6717,https://www.nyse.com/quote/XNCM:ADSE,564,COMMON_STOCK,ADSE,ADSE,ADSE,ADSE,ADS TEC ENERGY PLC,XNCM
98,6717,https://www.nyse.com/quote/XNGS:ADSK,564,COMMON_STOCK,ADSK,ADSK,ADSK,ADSK,AUTODESK INC,XNGS
99,6717,https://www.nyse.com/quote/XNGS:ADTN,564,COMMON_STOCK,ADTN,ADTN,ADTN,ADTN,ADTRAN HOLDINGS INC,XNGS
100,6717,https://www.nyse.com/quote/XNCM:ADTX,564,COMMON_STOCK,ADTX,ADTX,ADTX,ADTX,ADITXT INC,XNCM
101,6717,https://www.nyse.com/quote/XNCM:ADUR,564,COMMON_STOCK,ADUR,ADUR,ADUR,ADUR,ADURO CLEAN TECHNOLOGIES INC,XNCM
102,6717,https://www.nyse.com/quote/XNGS:ADUS,564,COMMON_STOCK,ADUS,ADUS,ADUS,ADUS,ADDUS HOMECARE CORP,XNGS
103,6717,https://www.nyse.com/quote/XNGS:ADV,564,COMMON_STOCK,ADV,ADV,ADV,ADV,ADVANTAGE SOLUTIONS INC,XNGS
104,6717,https://www.nyse.com/quote/XNCM:ADVB,564,COMMON_STOCK,ADVB,ADVB,ADVB,ADVB,ADVANCED BIOMED INC,XNCM
105,6717,https://www.nyse.com/quote/XNCM:ADVM,564,COMMON_STOCK,ADVM,ADVM,ADVM,ADVM,ADVERUM BIOTECHNOLOGIES INC,XNCM
106,6717,https://www.nyse.com/quote/XNYS:ADX,558,CLOSED_END_FUND,ADX,ADX,ADX,ADX,ADAMS DIVERSIFIED EQUITY FUND INC,XNYS
107,6717,https://www.nyse.com/quote/XNCM:ADXN,564,DEPOSITORY_RECEIPT,ADXN,ADXN,ADXN,ADXN,ADDEX THERAPEUTICS LIMITED SPON ADS EACH REP 120 ORD SHS (PST SPT),XNCM
108,6717,https://www.nyse.com/quote/XASE:AEF,545,CLOSED_END_FUND,AEF,AEF,AEF,AEF,ABRDN EMERGING MARKETS EX-CHINA FUND INC,XASE
109,6717,https://www.nyse.com/quote/XNYS:AEFC,558,PREFERRED_STOCK,AEFC,AEFC,AEFC,AEFC,AEGON FUNDING COMPANY LLC 5.1% SUB NOTES DUE 15/12/2049 USD25,XNYS
110,6717,https://www.nyse.com/quote/XNYS:AEG,558,DEPOSITORY_RECEIPT,AEG,AEG,AEG,AEG,AEGON LIMITED AMER REGD CERT(1 SH EUR0.12),XNYS
111,6717,https://www.nyse.com/quote/XNCM:AEHL,564,COMMON_STOCK,AEHL,AEHL,AEHL,AEHL,ANTELOPE ENTERPRISE HOLDINGS LTD,XNCM
112,6717,https://www.nyse.com/quote/XNCM:AEHR,564,COMMON_STOCK,AEHR,AEHR,AEHR,AEHR,AEHR TEST SYSTEMS,XNCM
113,6717,https://www.nyse.com/quote/XNCM:AEI,564,COMMON_STOCK,AEI,AEI,AEI,AEI,ALSET INC,XNCM
114,6717,https://www.nyse.com/quote/XNGS:AEIS,564,COMMON_STOCK,AEIS,AEIS,AEIS,AEIS,ADVANCED ENERGY INDUSTRIES,XNGS
115,6717,https://www.nyse.com/quote/XNYS:AEM,558,COMMON_STOCK,AEM,AEM,AEM,AEM,AGNICO EAGLE MINES LTD,XNYS
116,6717,https://www.nyse.com/quote/XNCM:AEMD,564,COMMON_STOCK,AEMD,AEMD,AEMD,AEMD,AETHLON MEDICAL INC,XNCM
117,6717,https://www.nyse.com/quote/XNYS:AEO,558,COMMON_STOCK,AEO,AEO,AEO,AEO,AMERICAN EAGLE OUTFITTERS INC,XNYS
118,6717,https://www.nyse.com/quote/XASE:AEON,545,COMMON_STOCK,AEON,AEON,AEON,AEON,AEON BIOPHARMA INC,XASE
119,6717,https://www.nyse.com/quote/XNGS:AEP,564,COMMON_STOCK,AEP,AEP,AEP,AEP,AMERICAN ELECTRIC POWER CO INC,XNGS
120,6717,https://www.nyse.com/quote/XNYS:AER,558,COMMON_STOCK,AER,AER,AER,AER,AERCAP HOLDINGS N.V.,XNYS
121,6717,https://www.nyse.com/quote/XNCM:AERT,564,COMMON_STOCK,AERT,AERT,AERT,AERT,AERIES TECHNOLOGY INC,XNCM
122,6717,https://www.nyse.com/quote/XNYS:AES,558,COMMON_STOCK,AES,AES,AES,AES,AES CORP,XNYS
123,6717,https://www.nyse.com/quote/XNYS:AESI,558,COMMON_STOCK,AESI,AESI,AESI,AESI,ATLAS ENERGY SOLUTIONS INC,XNYS
124,6717,https://www.nyse.com/quote/XNGS:AEVA,564,COMMON_STOCK,AEVA,AEVA,AEVA,AEVA,AEVA TECHNOLOGIES INC,XNGS
125,6717,https://www.nyse.com/quote/XNCM:AEYE,564,COMMON_STOCK,AEYE,AEYE,AEYE,AEYE,AUDIOEYE INC,XNCM
126,6717,https://www.nyse.com/quote/XNCM:AFBI,564,COMMON_STOCK,AFBI,AFBI,AFBI,AFBI,AFFINITY BANCSHARE,XNCM
127,6717,https://www.nyse.com/quote/XNMS:AFCG,564,COMMON_STOCK,AFCG,AFCG,AFCG,AFCG,ADVANCED FLOWER CAPITAL INC,XNMS
128,6717,https://www.nyse.com/quote/XNYS:AFG,558,COMMON_STOCK,AFG,AFG,AFG,AFG,AMERICAN FINANCIAL GROUP INC OHIO,XNYS
129,6717,https://www.nyse.com/quote/XNYS:AFGB,558,PREFERRED_STOCK,AFGB,AFGB,AFGB,AFGB,AMERICAN FINANCIAL GROUP INC OHIO 5.875% SUBORD DEB DUE 30/03/2059 USD25,XNYS
130,6717,https://www.nyse.com/quote/XNYS:AFGC,558,PREFERRED_STOCK,AFGC,AFGC,AFGC,AFGC,AMERICAN FINANCIAL GROUP INC OHIO 5.125% SUBORD DEB DUE 15/12/2059 USD25,XNYS
131,6717,https://www.nyse.com/quote/XNYS:AFGD,558,PREFERRED_STOCK,AFGD,AFGD,AFGD,AFGD,AMERICAN FINANCIAL GROUP INC OHIO 5.625% SUBORDINATED DEB DUE 01/06/2060,XNYS
132,6717,https://www.nyse.com/quote/XNYS:AFGE,558,PREFERRED_STOCK,AFGE,AFGE,AFGE,AFGE,AMERICAN FINANCIAL GROUP INC OHIO 4.500% SUBORD DEB DUE 15/09/2060,XNYS
133,6717,https://www.nyse.com/quote/XNMS:AFJK,564,COMMON_STOCK,AFJK,AFJK,AFJK,AFJK,AIMEI HEALTH TECHNOLOGY CO LTD,XNMS
134,6717,https://www.nyse.com/quote/XNMS:AFJKU,564,UNIT,AFJKU,AFJKU,AFJKU,AFJKU,AIMEI HEALTH TECHNOLOGY CO LTD UNIT 1 ORD SHS & 1 RT,XNMS
135,6717,https://www.nyse.com/quote/XNMS:AFMD,564,COMMON_STOCK,AFMD,AFMD,AFMD,AFMD,AFFIMED N V,XNMS
136,6717,https://www.nyse.com/quote/XNCM:AFRI,564,COMMON_STOCK,AFRI,AFRI,AFRI,AFRI,FORAFRIC GLOBAL PLC,XNCM
137,6717,https://www.nyse.com/quote/XNGS:AFRM,564,COMMON_STOCK,AFRM,AFRM,AFRM,AFRM,AFFIRM HLDGS INC,XNGS
138,6717,https://www.nyse.com/quote/XNGS:AFYA,564,COMMON_STOCK,AFYA,AFYA,AFYA,AFYA,AFYA LIMITED,XNGS
139,6717,https://www.nyse.com/quote/XNYS:AG,558,COMMON_STOCK,AG,AG,AG,AG,FIRST MAJESTIC SILVER CORP,XNYS
140,6717,https://www.nyse.com/quote/XNCM:AGAE,564,COMMON_STOCK,AGAE,AGAE,AGAE,AGAE,ALLIED GAMING,XNCM
141,6717,https://www.nyse.com/quote/XNYS:AGCO,558,COMMON_STOCK,AGCO,AGCO,AGCO,AGCO,AGCO CORP,XNYS
142,6717,https://www.nyse.com/quote/XNYS:AGD,558,CLOSED_END_FUND,AGD,AGD,AGD,AGD,ABRDN GLOBAL DYNAMIC DIVIDEND FUND,XNYS
143,6717,https://www.nyse.com/quote/XNCM:AGEN,564,COMMON_STOCK,AGEN,AGEN,AGEN,AGEN,AGENUS INC,XNCM
144,6717,https://www.nyse.com/quote/XNCM:AGH,564,COMMON_STOCK,AGH,AGH,AGH,AGH,AUREUS GREENWAY HOLDINGS INC,XNCM
145,6717,https://www.nyse.com/quote/XNYS:AGI,558,COMMON_STOCK,AGI,AGI,AGI,AGI,ALAMOS GOLD INC,XNYS
146,6717,https://www.nyse.com/quote/XNGS:AGIO,564,COMMON_STOCK,AGIO,AGIO,AGIO,AGIO,AGIOS PHARMACEUTICALS INC,XNGS
147,6717,https://www.nyse.com/quote/XNYS:AGL,558,COMMON_STOCK,AGL,AGL,AGL,AGL,AGILON HEALTH INC,XNYS
148,6717,https://www.nyse.com/quote/XNYS:AGM,558,COMMON_STOCK,AGM,AGM,AGM,AGM,FEDERAL AGRICULTURAL MORTGAGE CORP,XNYS
149,6717,https://www.nyse.com/quote/XNYS:AGM.A,558,COMMON_STOCK,AGM.A,AGM.A,AGM.A,AGM.A,FEDERAL AGRICULTURAL MORTGAGE CORP,XNYS
150,6717,https://www.nyse.com/quote/XNCM:AGMH,564,COMMON_STOCK,AGMH,AGMH,AGMH,AGMH,AGM GROUP HOLDINGS INC,XNCM
151,6717,https://www.nyse.com/quote/XNYS:AGMpD,558,PREFERRED_STOCK,AGM-D,AGMpD,AGMpD,AGM/PD,FEDERAL AGRICULTURAL MORTGAGE CORP 5.7% NON CUMULATIVE PREFERRED STK SER D,XNYS
152,6717,https://www.nyse.com/quote/XNYS:AGMpE,558,PREFERRED_STOCK,AGM-E,AGMpE,AGMpE,AGM/PE,FEDERAL AGRICULTURAL MORTGAGE CORP 5.7% NON CUMULATIVE PREFERRED STK SER E,XNYS
153,6717,https://www.nyse.com/quote/XNYS:AGMpG,558,PREFERRED_STOCK,AGM-G,AGMpG,AGMpG,AGM/PG,FEDERAL AGRICULTURAL MORTGAGE CORP 4.875% NON CUMULATIVE PREF STOCK SR G,XNYS
154,6717,https://www.nyse.com/quote/XNGS:AGNC,564,REIT,AGNC,AGNC,AGNC,AGNC,AGNC INVESTMENT CORP,XNGS
