ticker_name,alfa,erro_alfa,significancia_alfa,beta_dividendo,erro_beta,significancia_beta,r2,r2_ajustado,f_stat,p_f_stat,durbin_watson,jarque_bera,p_jarque_bera,max_cooks_distance,indice_outlier,possui_outlier_influente,residuo_p2_5,residuo_p25,residuo_p50,residuo_p75,residuo_p97_5,quantidade_residuos_extremos
ADC,0.10686605162892371,0.1346031296433015,0.4297056435419493,-0.9748710347256365,0.3708796603528886,0.010371629095944666,0.08333463379693062,0.0712732473995219,6.90920853135372,0.0103716290959446,2.14897757202548,1822.5192407612158,0,0.4448882448342306,48,1,-0.6203105896807833,-0.1521813661551772,0.02725064495340624,0.20894440870317577,0.6527391149339988,4
ADI,0.6919387236150836,0.7117819948571061,0.33642693643540333,-2.083137632780094,1.1295850316524843,0.07205646665020764,0.07329449534372379,0.05174320453776382,3.4009329651593103,0.0720564666502071,1.821243077403667,18.34918856068123,0.00010363926643139534,0.5891916932932446,42,1,-3.2919166152349617,-0.3611764261954332,-0.0070468433200828184,0.5179664245920177,2.343081587121682,4
ADM,0.0048659373891543345,0.2161136076575278,0.9821407927238793,-0.8226256144317066,0.5904459329792419,0.17071174417782609,0.043191734812928706,0.020940379808578213,1.9410833544511823,0.170711744177826,1.816735417280016,2.240067054265231,0.326268855580474,0.10793828202689987,33,1,-0.49154741164121873,-0.18532534815007773,0.0030504336678023325,0.11256237901976773,0.7041861394382155,4
ADP,0.12240652524812773,0.7401226907571118,0.8694330545926134,-1.365700994239852,0.8214510538115776,0.10384961488339466,0.06174735726920055,0.03940800863275307,2.7640625639575336,0.103849614883394,1.6139446984056927,752.7157658716048,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003546894086138007,0.3606851890490505,24,1,-3.5991409397020515,-0.07643385682977481,0.31089513884675324,0.7454564663816396,1.3539732575907497,4
ADX,-0.10369016885161403,0.07816638822996522,0.19166612552878867,-0.9352895119449486,0.13586360462339042,0.000000018946076995222054,0.5242831740987027,0.5132199921009981,47.38990773246631,1.8946076995222e-08,2.009498861379757,1428.0488514083058,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080007734399097,0.478198789527712,31,1,-0.5692866890749926,0.041507849021698684,0.12045395780335363,0.15045464444886145,0.22945464063416415,4
AEM,-0.12334792031546828,0.16874288155859216,0.4689475631385337,0.008084006636430413,0.6679255724554515,0.9904020183505071,0.000003572825222564191,-0.024386583935137818,0.00014648635749716228,0.990402018350478,1.75936880067325,2.226082703285139,0.32855817902408807,0.1996521397654165,27,1,-1.0874499549352883,-0.3137129673192043,-0.028068306724813294,0.3861261154875202,1.3932809734308296,4
AEP,-0.41686601382227695,0.3324155835963343,0.21659833273228654,-0.31527935753383496,0.4751963083461556,0.5105700181746211,0.010133353494506836,-0.012886801075388421,0.4401948502882246,0.51057001817462,2.222422017571182,92.27516598737773,0.000000000000000000009177033086349376,0.252029924920201,27,1,-0.6838000770719576,-0.14145181424885878,0.03341726605294326,0.16396208967263137,0.6220837684386538,4
AES,0.03884623265130869,0.08446620767335199,0.6479031420274616,-1.2496756841595902,0.6210273052928597,0.05048220027137211,0.086063827909025,0.06480949832551397,4.049237477515766,0.050482200271372,2.2496280370135153,43.28448757237572,0.0000000003989265559877371,0.23759058346995857,28,1,-0.2402720110217747,-0.051396559026749694,-0.001381335189163918,0.058618130753218894,0.2276019150410858,4
AFG,0.16789407989024696,0.102005460343982,0.10460508230897474,-1.044757611725303,0.042724318700321326,0.00000000000000000000000000000000017242906152192996,0.9019566329700992,0.9004482734773315,597.9719273122946,1.7242906152193e-34,1.5184578459636395,49.86979216123776,0.00000000001482218485788333,0.267268399107021,50,1,-1.3586950450013529,-0.25573478962528445,0.07791567159937052,0.3202275648702195,1.316224051700319,4
AGCO,0.1827977524219224,0.12439346852529676,0.1483563323965367,-1.1500243264927663,0.10472599288217872,0.00000000000001432958519541975,0.7195507853075176,0.7135837807395924,120.58827458845384,1.43295851954199e-14,1.5883388314561335,2.6177263052922206,0.27012697502858257,0.191229059348802,29,1,-1.040091869412515,-0.5402928827448824,-0.12029471379956995,0.6622642845131184,1.6407053384786123,4
