ticker_name,beta_dividendo,significancia_beta,r2,r2_ajustado,f_stat,p_f_stat,validade_regressao
CGO,-0.17406976823781267,0.8940740338152637,0.0001358454367896833,-0.007496705361402567,0.017798170019628877,0.894074033815242,1
CHCO,0.7783096846694182,0.4206850136091209,0.015139434880862224,-0.007764299191675983,0.6610029103950644,0.420685013609127,1
CHH,2.7601318273023,0.4000409872241415,0.01870616859140828,-0.0071173532877653045,0.7243848720144827,0.400040987224141,1
CHI,0.4206291077628994,0.7421450794788207,0.0008291534739116591,-0.006798104896516444,0.10870924172785305,0.742145079478836,1
CHRW,-1.5095105418887236,0.24422537884207665,0.03140001332062847,0.00887443223506168,1.3939712898571126,0.244225378842079,1
CHSCO,-0.6863299604398945,0.0000000000005206976507017848,0.00000000000000011102230246251565,0.00000000000000011102230246251565,,0x000000000000F87F,1
CHW,-0.24522542193469696,0.7622907801136964,0.0007008256127071233,-0.006927412359714946,0.0918725418951043,0.762290780113654,1
CHY,1.3115422805407688,0.42730043250437943,0.004817050560607661,-0.002779765847326532,0.6340880576732926,0.427300432504379,1
CIB,-0.8553744246658797,0.0000006800349799042786,0.4559596454484526,0.4426903685081709,34.36205661397363,6.8003497990428e-07,1
CIF,-0.8876160078431581,0.10882656594210288,0.019362523838992063,0.01193345204989349,2.6063180419665293,0.108826565942105,1
CII,-1.1225054124937632,0.000000000000000025112122867855013,0.4351331967083465,0.4306501268409524,97.06143548489491,2.51121228678563e-17,1
CIK,-3.046352342264588,0.40320770169861253,0.0053399655273097535,-0.002252859163321297,0.7032910339545602,0.403207701698617,1
CIM,-0.8646636831251234,0.0000000000000027373436602061622,0.7615351067927825,0.7561154501289821,140.51353324267137,2.73734366020613e-15,1
CINF,-2.4726738154893155,0.03184348060474111,0.10047470385908086,0.08003094712860548,4.914688879529834,0.031843480604741,1
CL,0.4751531378652316,0.6699738184520183,0.004264280279780541,-0.018892364364875736,0.18414931632871714,0.669973818452033,1
CLB,-0.9436832092394738,0.11894976886599028,0.055590180799148126,0.03362716174796554,2.5310810262287182,0.11894976886599,0
CLDT,-0.6143824414509118,0.4440859137386485,0.007160607179620526,-0.004947190293798753,0.5914046047879912,0.444085913738651,1
CLM,-0.8474374964563551,0.00000009642837769117483,0.19449899651668512,0.18839671618726606,31.87316642583705,9.64283776911742e-08,1
