"",ticker,n_eventos,mae_beta,mae_pdr,mse_beta,mse_pdr,rmse_beta,rmse_pdr,melhor_modelo
262,CUBE,44,0.168264,0.157570,0.049544,0.046071,0.222585,0.214642,pdr
263,CVBF,44,0.139201,0.139459,0.044275,0.043574,0.210417,0.208743,pdr
264,CVS,45,0.400931,0.332180,0.316664,0.287997,0.562729,0.536654,pdr
265,CVX,45,0.861150,0.766292,1.417536,1.243913,1.190603,1.115309,pdr
266,CWCO,43,0.816728,0.148169,0.689470,0.098185,0.830343,0.313345,pdr
267,CXE,134,0.016990,0.016003,0.000444,0.000400,0.021070,0.019990,pdr
268,CXH,134,0.038090,0.028713,0.002479,0.001669,0.049790,0.040855,pdr
269,CXT,45,0.175591,0.162135,0.057978,0.051758,0.240786,0.227503,pdr
270,CZNC,45,0.175292,0.186183,0.204412,0.185608,0.452119,0.430823,pdr
271,D,45,0.750146,0.235157,0.635716,0.104801,0.797318,0.323729,pdr
272,DAN,42,0.164720,0.134373,0.046993,0.034455,0.216779,0.185622,pdr
273,DBL,133,0.056848,0.056737,0.006381,0.006355,0.079883,0.079717,pdr
274,DCI,45,0.541754,0.297643,0.393739,0.167030,0.627486,0.408694,pdr
275,DCOM,45,1.165071,0.176847,1.411668,0.055702,1.188136,0.236013,pdr
276,DD,45,0.539523,0.533914,0.491592,0.488944,0.701136,0.699245,pdr
277,DDS,48,1.383597,3.943169,9.429848,128.385429,3.070806,11.330729,beta_div
278,DEI,44,0.102923,0.098344,0.016882,0.015812,0.129931,0.125745,pdr
279,DFP,134,0.074333,0.063750,0.008866,0.006451,0.094160,0.080319,pdr
280,DFS,45,0.469520,0.472217,0.463031,0.462723,0.680464,0.680238,pdr
281,DG,40,0.737160,0.682508,1.417746,1.164019,1.190691,1.078897,pdr
282,DGICA,45,0.265758,0.099342,0.092287,0.022304,0.303788,0.149344,pdr
283,DGX,45,0.516173,0.468940,0.553954,0.517191,0.744281,0.719160,pdr
284,DHF,133,0.018040,0.011109,0.000461,0.000231,0.021473,0.015196,pdr
285,DHI,45,0.501742,0.435600,0.560628,0.498195,0.748751,0.705829,pdr
286,DHR,45,0.747765,1.372629,1.042498,19.755185,1.021028,4.444680,beta_div
287,DHT,43,0.052900,0.071013,0.004605,0.010712,0.067861,0.103499,beta_div
288,DHY,133,0.011800,0.011900,0.000452,0.000452,0.021270,0.021264,pdr
289,DINO,45,0.522211,0.266801,0.410728,0.173859,0.640881,0.416964,pdr
290,DK,44,0.651518,0.258905,0.660191,0.449784,0.812521,0.670659,pdr
291,DKL,45,0.387041,0.363084,0.258648,0.249504,0.508575,0.499504,pdr
292,DKS,44,0.608404,0.690081,1.267452,1.504512,1.125812,1.226586,beta_div
293,DLB,42,0.288465,0.274256,0.156300,0.151792,0.395347,0.389605,pdr
294,DLR,44,0.999225,0.847768,3.127117,3.045828,1.768366,1.745230,pdr
295,DLX,45,0.343033,0.231426,0.173267,0.087628,0.416253,0.296020,pdr
296,DMB,133,0.044424,0.038746,0.003709,0.003231,0.060899,0.056845,pdr
297,DMLP,45,0.180131,0.143994,0.045353,0.038732,0.212962,0.196803,pdr
298,DMO,138,0.067650,0.068565,0.008007,0.007997,0.089482,0.089427,pdr
299,DNP,134,0.025222,0.025222,0.001295,0.001295,0.035982,0.035982,pdr
300,DOV,45,0.963995,0.456745,1.265039,0.388633,1.124740,0.623404,pdr
301,DOX,44,0.163053,0.160318,0.041977,0.040300,0.204883,0.200749,pdr
302,DPG,50,0.069611,0.078640,0.010748,0.010544,0.103674,0.102682,pdr
303,DPZ,44,1.918543,1.911844,18.702513,18.235938,4.324640,4.270356,pdr
304,DRI,43,0.769561,0.472254,0.756041,0.474740,0.869506,0.689014,pdr
305,DSL,133,0.047458,0.047270,0.004045,0.004039,0.063601,0.063553,pdr
306,DSM,134,0.025058,0.021103,0.001346,0.001195,0.036687,0.034576,pdr
307,DSU,133,0.039572,0.031822,0.002590,0.001784,0.050889,0.042235,pdr
308,DUK,45,0.514953,0.282767,0.377051,0.144985,0.614045,0.380768,pdr
309,DVN,45,0.454095,0.454164,0.366112,0.366530,0.605072,0.605417,beta_div
310,DX,94,0.062115,0.062163,0.007244,0.007244,0.085110,0.085109,pdr
311,EAD,134,0.044671,0.031155,0.003897,0.003067,0.062427,0.055380,pdr
312,EARN,73,0.053684,0.056715,0.007078,0.007159,0.084133,0.084611,beta_div
313,EBF,45,0.074366,0.074344,0.010875,0.010878,0.104285,0.104299,beta_div
314,EBTC,45,0.226042,0.180261,0.084777,0.072262,0.291166,0.268816,pdr
315,ECF,44,0.073836,0.075361,0.012044,0.013140,0.109744,0.114631,beta_div
316,ECL,44,1.544652,1.430178,9.856967,9.429645,3.139581,3.070773,pdr
317,EDD,44,0.047016,0.029653,0.003353,0.002269,0.057909,0.047633,pdr
318,EDF,134,0.065787,0.057599,0.007366,0.006414,0.085823,0.080090,pdr
319,EFC,94,0.084923,0.081081,0.011825,0.012729,0.108743,0.112825,beta_div
320,EFR,134,0.035028,0.030461,0.002207,0.001932,0.046977,0.043956,pdr
321,EFSC,44,0.512865,0.342462,0.524421,0.493261,0.724169,0.702325,pdr
322,EFT,134,0.037187,0.034771,0.002704,0.002273,0.051995,0.047673,pdr
323,EG,41,2.160650,1.852706,9.590062,8.741455,3.096782,2.956595,pdr
324,EGP,44,0.457239,0.459946,0.430357,0.427249,0.656016,0.653643,pdr
325,EHC,44,0.637580,0.267749,0.605037,0.210425,0.777841,0.458721,pdr
326,EHI,134,0.037428,0.028543,0.002301,0.001466,0.047972,0.038287,pdr
327,EIM,135,0.042837,0.026406,0.002903,0.001364,0.053883,0.036932,pdr
328,EIX,44,0.211656,0.206265,0.088967,0.081306,0.298274,0.285142,pdr
329,EL,44,1.111337,0.894132,2.442502,2.145389,1.562851,1.464715,pdr
330,ELME,44,0.340398,0.213112,0.265086,0.236473,0.514865,0.486285,pdr
331,ELS,44,0.222064,0.178428,0.087341,0.061186,0.295535,0.247358,pdr
332,ELV,44,1.512978,1.300408,5.347005,5.254269,2.312359,2.292219,pdr
333,EMD,131,0.071375,0.035549,0.007781,0.002910,0.088207,0.053947,pdr
334,EME,45,1.406635,0.720252,2.619616,1.478609,1.618523,1.215981,pdr
335,EMN,44,0.738698,0.676282,1.115764,1.065879,1.056297,1.032414,pdr
336,EMO,49,0.304635,0.291652,0.177201,0.177541,0.420952,0.421357,beta_div
337,EMR,45,2.117971,0.369110,4.722576,0.248519,2.173149,0.498517,pdr
338,ENB,41,0.340362,0.246178,0.179428,0.117578,0.423589,0.342896,pdr
339,ENS,44,1.346377,0.680068,2.901866,1.157942,1.703486,1.076077,pdr
340,ENSG,44,0.345485,0.231420,0.172428,0.123801,0.415245,0.351854,pdr
341,ENX,134,0.043942,0.042684,0.003619,0.003554,0.060159,0.059612,pdr
342,EOD,43,0.043836,0.032891,0.003324,0.002575,0.057653,0.050745,pdr
343,EOG,52,0.905199,0.916207,1.698696,1.691805,1.303340,1.300694,pdr
344,EOI,134,0.074973,0.052690,0.008543,0.005094,0.092428,0.071369,pdr
345,EOS,134,0.062548,0.060428,0.007981,0.007383,0.089335,0.085924,pdr
346,EOT,139,0.096882,0.060663,0.013417,0.006287,0.115833,0.079290,pdr
347,EPD,45,0.129002,0.130613,0.038018,0.036458,0.194981,0.190941,pdr
348,EPM,44,0.072345,0.075114,0.011875,0.011848,0.108971,0.108847,pdr
349,EPR,120,0.253712,0.254264,0.194325,0.188986,0.440823,0.434725,pdr
350,EQIX,43,2.923078,2.823180,21.053399,21.203879,4.588398,4.604767,beta_div
351,EQNR,40,0.270418,0.271480,0.123911,0.122179,0.352010,0.349541,pdr
352,ERC,133,0.042743,0.043417,0.006759,0.006650,0.082211,0.081547,pdr
353,ERH,133,0.097879,0.077555,0.020887,0.016819,0.144524,0.129689,pdr
354,ERIE,46,0.622578,0.620017,0.817282,0.712795,0.904037,0.844272,pdr
355,ES,45,0.358712,0.255326,0.187354,0.108627,0.432844,0.329587,pdr
356,ESCA,44,0.114842,0.114690,0.022125,0.022096,0.148743,0.148648,pdr
357,ESE,44,0.438223,0.438223,0.625516,0.625516,0.790896,0.790896,pdr
358,ESLT,42,1.769817,0.834128,4.033099,1.112799,2.008258,1.054893,pdr
359,ESRT,41,0.061545,0.060123,0.008497,0.008460,0.092180,0.091981,pdr
